매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
솔벤 캠퍼스 [127폭/20m],1,158000,SV-FLEXL:솔벤 조명후렉스 / SV-FLEXN:솔벤 비조명후렉스,
LED투광기-검정색/백색 [35W],1,157500,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
LED투광기-백색/웜 [35W],1,157500,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
스카시20T-검정 [3*6],2,149500,UV-SKS-20T-W:UV 스카시 20T 백색 / UV-SKS-20T-B:UV 스카시 20T 검정,
발통 [500mm],1,148680,,
LED형광등 [28w-양면(60cm)],1,145000,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
스카시10T-검정 [3*6],2,142090,UV-SKS-10T-W:UV 스카시 10T 백색 / UV-SKS-10T-B:UV 스카시 10T 검정,
아일렛(하도매) [9호/은색],3,142000,ACC-045-5-S:아일렛 5호 은 / ACC-045-5-G:아일렛 5호 금,
까치발 [1200mm],1,140100,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
족자봉 쫄대 [5mm],1,140000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
포인트원형돌출 [600Φ],1,136500,SGM-PRND-D500:포인트원형돌출 500Φ / SGM-PRND-D600:포인트원형돌출 600Φ,
트러스바 [150mm*7m/연회색],1,126800,SGM-TRW-BK:트러스바 날개 흑색 / SGM-TRW-WH:트러스바 날개 백색,
까치발 [1000mm],2,123900,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
C4 엠보UV 무광(200g) [127폭],1,116600,UV-FLEXL:UV 조명후렉스 / UV-FLEXN:UV 비조명후렉스,
양면 테이프(판형) [1T],1,113000,,
실리콘 [백색],2,112500,SGM-SIL:실리콘,
고무자석시트-차량용(0.8T) [100폭/10m],1,110000,MAG-060:고무자석시트 / MAG-100:고무자석시트,
스카시10T-백색 [3*6],2,109300,UV-SKS-10T-W:UV 스카시 10T 백색 / UV-SKS-10T-B:UV 스카시 10T 검정,
까치발 [800mm],1,108000,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
후판 [90cm],1,108000,,
후판 [170cm],1,106250,,
유광코팅지 일반(45m/180g) [127폭],1,105000,SPP031G-090:유광코팅지 SPP031G / SPP031G-105:유광코팅지 SPP031G,
채널 지지대,1,105000,SGM-CRF:채널 보강대 / SGM-CSP:채널 지지대,
원형족자봉 [21Ø],1,104000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
C4 엠보UV 무광(200g) [90폭],1,103400,UV-FLEXL:UV 조명후렉스 / UV-FLEXN:UV 비조명후렉스,
스카시30T-검정 [3*6],1,100650,UV-SKS-30T-W:UV 스카시 30T 백색 / UV-SKS-30T-B:UV 스카시 30T 검정,
사각족자봉 마개 [크롬],1,100000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
채널용 입체바 [연회색/80mm*3m],1,96000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
투광기 파이프-ㅡ자형/백색 [700mm],1,96000,SGM-PPIPE-PW:투광기 파이프 백색 / SGM-PPIPE-PB:투광기 파이프 검정,
까치발 [600mm],1,95700,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
자이언트 폴SET(대) [6m/120*400],1,95000,ACC-023:자이언트배너 폴세트,
채널 지지대 [72mm],1,95000,SGM-CRF:채널 보강대 / SGM-CSP:채널 지지대,
울트라보조시트 [100폭/50m/75g],1,93240,LC2000-100:보조시트 LC2000,
비조명후렉스 [100],1,90000,SV-FLEXN:솔벤 비조명후렉스 / UV-FLEXN:UV 비조명후렉스,
수성 백릿-프라임 [127폭],1,87000,AQ-BANNER:수성 현수막 / AQ1-030:수성 현수막원단 1코팅,
채널용 캡바 [녹색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [밤색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [연청색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [적색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [진핑크/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [진회색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
채널용 캡바 [황색/25mm*3m],1,82000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
후판 [130cm],1,81250,,
잉크(CMY) [3리터],1,81000,,
