매입품목명,라인수,금액,상태,제안코드,최종지정코드
원형족자봉 [21Ø],1,104000,미매칭,,,
C4 엠보UV 무광(200g) [90폭],1,103400,미매칭,,,
수성잉크 C(개별포장),1,103200,후보(잉크→RM),RM,,
수성잉크 K(개별포장),1,103200,후보(잉크→RM),RM,,
수성잉크 LC(개별포장),1,103200,후보(잉크→RM),RM,,
수성잉크 LM(개별포장),1,103200,후보(잉크→RM),RM,,
수성잉크 M(개별포장),1,103200,후보(잉크→RM),RM,,
수성잉크 Y(개별포장),1,103200,후보(잉크→RM),RM,,
스카시30T-검정 [3*6],1,100650,미매칭,,,
사각족자봉 마개 [크롬],1,100000,미매칭,,,
수성잉크 LC-peb,1,96000,후보(잉크→RM),RM,,
수성잉크 LM-peb,1,96000,후보(잉크→RM),RM,,
채널용 입체바 [연회색/80mm*3m],1,96000,미매칭,,,
투광기 파이프-ㅡ자형/백색 [700mm],1,96000,미매칭,,,
까치발 [600mm],1,95700,미매칭,,,
수성잉크 C [5리터],1,95000,후보(잉크→RM),RM,,
수성잉크 M [5리터],1,95000,후보(잉크→RM),RM,,
수성잉크 Y [5리터],1,95000,후보(잉크→RM),RM,,
자이언트 폴SET(대) [6m/120*400],1,95000,미매칭,,,
채널 지지대 [72mm],1,95000,미매칭,,,
울트라보조시트 [100폭/50m/75g],1,93240,미매칭,,,
비조명후렉스 [100],1,90000,미매칭,,,
패트배너(30m)-잉크테크 [152폭],1,89000,후보(잉크→RM),RM,,
수성 백릿-프라임 [127폭],1,87000,미매칭,,,
채널용 캡바 [녹색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [밤색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [연청색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [적색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [진핑크/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [진회색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [황색/25mm*3m],1,82000,미매칭,,,
후판 [130cm],1,81250,미매칭,,,
잉크(CMY) [3리터],1,81000,후보(잉크→RM),RM,,
울트라 칼라시트-(내부용) SC-2701 [100폭/흰색/무광],1,80500,미매칭,,,
까치발 [400mm],1,79800,미매칭,,,
돼지표본드 [3kg],1,78900,미매칭,,,
까치발 [1400mm],1,78000,미매칭,,,
비점착합성지(30m)-호홍 [127폭],1,77000,미매칭,,,
채널바 옆마구리 [200mm*100mm/백색],2,76500,미매칭,,,
45도 보강대 [1box-1000ea],1,75000,미매칭,,,
발통-700 [1box=5ea],1,73750,미매칭,,,
직결피스 [1box-12000ea],1,73200,미매칭,,,
엡손 솔벤잉크(80610) [BK],1,73000,후보(잉크→RM),RM,,
엡손 솔벤잉크(80610) [C],1,73000,후보(잉크→RM),RM,,
엡손 솔벤잉크(80610) [LC],1,73000,후보(잉크→RM),RM,,
엡손 솔벤잉크(80610) [LM],1,73000,후보(잉크→RM),RM,,
엡손 솔벤잉크(80610) [M],1,73000,후보(잉크→RM),RM,,
엡손 솔벤잉크(80610) [Y],1,73000,후보(잉크→RM),RM,,
쌍클립,1,72000,미매칭,,,
후판 [120cm],1,72000,미매칭,,,
까치발 [300mm],1,70800,미매칭,,,
빅폴 SET [150*140~240],1,70000,미매칭,,,
프레임타카핀 710,1,68000,미매칭,,,
발통-400 [1box=6ea],1,67260,미매칭,,,
까치발 [1900mm],1,66100,미매칭,,,
트러스바 보강대 [200mm],1,66000,미매칭,,,
무광인화지 [127폭],1,65000,미매칭,,,
합성지 그레이-프라임 [90폭],1,65000,미매칭,,,
경동화물,2,62000,미매칭,,,
아일렛(하도매) [24호/금색],1,61000,미매칭,,,
하코너,1,60000,미매칭,,,
후판 [100cm],1,60000,미매칭,,,
까치발 [1700mm],1,59600,미매칭,,,
스텐원형돌출 [600Φ],1,59500,미매칭,,,
도안지 [125폭],1,58000,미매칭,,,
채널바 옆마구리 [300mm*100mm/검정],1,56000,미매칭,,,
스카시10T-검정,1,54650,미매칭,,,
엡손 솔벤잉크(80610) [CL],1,54000,후보(잉크→RM),RM,,
고무자석시트-일반(0.8T) [60폭/10m],1,53000,미매칭,,,
까치발 [700mm],1,50550,미매칭,,,
앙고리폴대,1,50000,미매칭,,,
채널바 옆마구리 [250mm*100mm/백색],1,49000,미매칭,,,
트러스바 옆마구리 [200mm*113mm/백색],1,49000,미매칭,,,
투광기 파이프-ㅡ자형/검정 [700mm],1,48000,미매칭,,,
수성잉크 K [5리터],1,47500,후보(잉크→RM),RM,,
인두기(열재단) [나무손잡이],1,45000,미매칭,,,
