품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
SGM-LEDP-WM	LED투광기 백색/웜	35W		EA	15	157500	1	2026-06-19	(주)엘이디포유	
SK-2814	예스포맥스2T3*6백색			EA	30	156600	1	2026-04-13	(주)서울경금속	
SK-1737	LG-DPM1520mmSPC031G			EA	1	156490	1	2026-05-27	(주)서울경금속	
SK-1467	까치발-1400			EA	30	156000	2	2026-06-08	(주)서울경금속	
SK-2255	포마트포맥스2T3*6백색			EA	30	155400	1	2026-02-23	(주)서울경금속	
SGM-IPB100-LG	입체바 1.0T 100mm 연회색	1.0T 100mm*3m		EA	20	154000	1	2026-04-17	(주)엘이디포유	
SGM-IPB100-BK	입체바 1.0T 100mm 흑색	1.0T 100mm*3m		EA	20	154000	1	2026-04-10	(주)엘이디포유	
SGM-CPIS-WH	칼라피스 T7*14 백색	T7*14 1롤=1000개		EA	15	150000	1	2026-01-09	(주)엘이디포유	
SGM-CPIS-JD	칼라피스 T7*14 옥색	T7*14 1롤=1000개		EA	15	150000	1	2026-01-09	(주)엘이디포유	
SK-1466	까치발-1300			EA	30	148800	2	2026-04-20	(주)서울경금속	
PETB-152	PET배너	152cm 롤30M		롤	2	148200	1	2026-05-22	(주)엘이디포유	
PETB-063	PET배너	63cm 롤30M		롤	6	148200	1	2026-05-22	(주)엘이디포유	
SGM-TRB-R200-JD	트러스바 200mm 옥색	200mm		EA	2	148000	1	2026-01-23	(주)엘이디포유	
SGM-IPB-FL	입체바 형광색	80mm*3m		EA	40	148000	1	2026-01-09	(주)엘이디포유	
SGM-TRB-R200-LG	트러스바 200mm 연회색	200mm		EA	2	148000	1	2026-03-13	(주)엘이디포유	
SGM-KPB-DG	캡바 진회색	25mm*3m		EA	80	146000	2	2026-06-05	(주)엘이디포유	
SGM-KPB-OR	캡바 주황색	25mm*3m		EA	80	146000	2	2026-06-01	(주)엘이디포유	
SK-2968	LG-DPM1370mmLW2800M			EA	1	145280	1	2026-06-22	(주)서울경금속	
DOIN-125	도인지 125	125cm 롤137M		롤	5	145000	2	2026-04-03	(주)엘이디포유	
SK-26896	YESLED형광등15W-(양면용,60cm)			EA	50	145000	1	2026-06-15	(주)서울경금속	
SK-315	간판용후판1.2M(50M)			EA	2	144000	1	2026-02-09	(주)서울경금속	
SK-252	스카시10T3*6검정			EA	13	142090	2	2026-06-02	(주)서울경금속	
SK-26802	예스후렉스-(그레이비조명용)160폭-50M			EA	1	140000	1	2026-06-15	(주)서울경금속	
SK-26787	예스후렉스-(씨트용)120폭-50M			EA	1	138000	1	2026-06-18	(주)서울경금속	
SGM-PPIPE-PB	투광기 파이프 검정	ㅡ자형 700mm		EA	70	138000	2	2026-06-19	(주)엘이디포유	
SGM-FTACK	프레임타카핀 710			EA	40	136000	2	2026-06-12	(주)엘이디포유	
SK-250	스카시30T3*6검정			EA	7	135650	2	2026-06-01	(주)서울경금속	
SK-1290	까치발-250			EA	60	135000	1	2026-03-03	(주)서울경금속	
MCP120-060	무광코팅지 120g-호홍	60cm 61m	600	롤	4	131200	1	2026-05-22	(주)엘이디포유	
SK-1732	LG-DPM1270mmSPC031G			EA	1	130650	1	2026-06-15	(주)서울경금속	
MCP080-127	무광코팅지 80g-호홍	127cm 61m		롤	2	125400	1	2026-05-22	(주)엘이디포유	
KEL-HH-127	PVC(켈)(30m)-호홍	127cm		롤	2	122400	1	2026-05-22	(주)엘이디포유	
SK-1469	까치발-1600			EA	20	113400	2	2026-04-20	(주)서울경금속	
SK-2498	사각경관봉70mm알미늄몸통3010mm			EA	10	112800	1	2026-01-22	(주)서울경금속	
SGM-TRB-R150-WH	트러스바 150mm 백색	150mm		EA	2	110000	1	2026-03-13	(주)엘이디포유	
SK-245	스카시10T3*6백색			EA	10	109300	2	2026-06-08	(주)서울경금속	
SK-27103	예스-고무자석롤-0.8T610폭*10M			EA	2	106500	2	2026-06-01	(주)서울경금속	
SK-631	간판용후판1.7M(50M)			EA	1	106250	1	2026-06-29	(주)서울경금속	
SK-26898	YESLED형광등7W-(전구색,웜-60cm)			EA	50	105000	1	2026-04-22	(주)서울경금속	
AQ1-070	수성 현수막원단 1코팅	70cm	700	yd	250	102500	1	2026-05-18	운산직물	
SK-1371	보조시트(75)SC-008/ULTRA			EA	1	93240	1	2026-06-12	(주)서울경금속	
SGM-TRF-R300	트러스바 보강대 300mm	300mm		EA	200	92000	1	2026-04-10	(주)엘이디포유	
SGM-IPB-RD	입체바 적색	80mm*3m		EA	20	92000	1	2026-04-10	(주)엘이디포유	
SK-1474	발통-1000			EA	5	91450	1	2026-01-12	(주)서울경금속	
