성격	품목명	규격	이카운트코드	라인수	수량	공급가액	내용(예시)	MES품목코드(기입)
자재·상품	아크릴 5T 레이져		J005	1	1	25000	공주떡집	
자재·상품	포맥스 2T(검정)		D600-1	1	1	25000		
시공·출력	솔벤출력	91*192	G016	1	1	25000	시트) 서부농협충화지점	
시공·출력	현수막 출력	250*180	G002	1	1	25000	콘솔	
시공·출력	현수막 출력	163*90	G002	1	4	23200	펜스	
시공·출력	UV후렉스 출력	1000x2200mm	G013	1	1	22000	본전고깃골	
시공·출력	한진택배		F010	5	5	21000		
시공·출력	패트배너-출력	70*100	G001	1	2	21000	대구신매	
자재·상품	경관봉(라운드)		0-0-0123	1	1	21000		
시공·출력	솔벤조명시트외컷팅부착		0-0-0019	1	1	20000		
시공·출력	아크릴 5T(검정)-부착		J005	1	1	20000		
자재·상품	아크릴 3T(검정)		J003	1	1	20000	아라미요양원	
자재·상품	투명아크릴 5T	70mm	J005	1	20	20000	원형	
시공·출력	솔벤출력	120*160	G016	1	1	19500	시트) 안동	
시공·출력	솔벤출력	27.5*27.5	G016	1	12	18000	시트) 건설기계협회	
시공·출력	현수막 출력	1200*90	G002	1	1	18000	서산부춘추중학교	
시공·출력	솔벤출력	155*100	G016	1	1	17000	시트) 소곱창	
시공·출력	솔벤조명시트(부착)		0-0-0019	1	1	17000		
시공·출력	LG조명시트부착(검정)	1220mm	0-0-0017	1	1	16000		
시공·출력	출력	15*30	G020	1	4	16000	미니배너set+패트출력/ 국군대전병원	
시공·출력	현수막 출력	130*360	G002	1	1	15500	대구신매	
자재·상품	투명아크릴3T+배면	500x230mm	J003	1	1	15000	향토음식지정업소	
시공·출력	현수막 출력	350*160	G002	1	1	15000	대구신매	
시공·출력	전사출력	75*54	G012	1	5	15000	정지선을 지킵시다	
시공·출력	현수막 출력	350*140	G002	1	1	14500	남양주오남	
자재·상품	까치발	1000mm	0-0-0042	3	2	14000	반품	
시공·출력	현수막 출력	300*160	G002	1	1	12500	서경백화점	
자재·상품	족자봉 연결대		D311	1	6	12000		
시공·출력	현수막 출력	60*150	G002	1	2	12000	QR안내	
시공·출력	현수막 출력	160*170	G002	1	1	11500	의정부S1	
시공·출력	현수막 출력	295*140	G002	1	1	11300	동병하지 프로젝트	
시공·출력	현수막 출력	314*130	G002	1	1	11000	전주서신	
시공·출력	현수막 출력	700*80	G002	1	1	10500	게시대)서산부춘 중학교	
자재·상품	아크릴5T+배면인쇄	236x92mm	J005	1	1	10000	비전세미콘	
시공·출력	패트배너-출력	60*120	G001	1	1	10000	소곱창	
자재·상품	후렉스(시트용)		G013	1	1	10000		
자재·상품	까치발	200mm	0-0-0032	1	2	10000		
시공·출력	현수막 출력	122*150	G002	1	1	9000	안동	
시공·출력	현수막 출력	300*70	G002	1	2	9000	남원	
시공·출력	LG조명컷팅부착	1220mm	0-0-0017	1	1	9000		
시공·출력	현수막 출력	112*150	G002	1	1	8500	안동	
시공·출력	현수막 출력	110*180	G002	1	1	7500	인천신기	
시공·출력	현수막 출력	330*90	G002	1	1	5500	인천신기	
시공·출력	현수막 출력	100*24	G002	1	1	5500	한국조직문화 연구원	
시공·출력	현수막 출력	360*40	G002	1	1	5500	공장준공	
시공·출력	현수막 출력	280*75	G002	1	1	4500	연신내 공장준공	
시공·출력	현수막 출력	70*182	G002	1	1	4000	안동	
시공·출력	현수막 출력	150*90	G002	1	1	4000	달란트잔치	
자재·상품	비조명 후레임(카바재단)		0-0-0005	1	1	0	인천뮤지엄파크(보수)-서비스	
자재·상품	현수막 2코팅-J	30폭	A020	1	260	0	130yd*2(서비스)	
자재·상품	기타	170cm	F012	1	1	0	현수막 받침대(서비스)	
자재·상품	대신화물		F007	1	1	0		
자재·상품	방문	켈	F012	1	1	-1000		
자재·상품	기타 켈 방문		F012	1	2	-2000		
자재·상품	기타		F012	1	-1	-6000	호홍 코팅지 과입금	
자재·상품	기타 잉크 박스		F012	1	36	-10800		
자재·상품	절삭		F012	1	-1	-14415		
자재·상품	LED투광기-검정색/백색	35W	0-0-0122	1	-1	-25000		
자재·상품	현수막 1코팅-S(4월달반품)	70폭	A405	1	-130	-46800	원단불량	
